source,title,description,text,label
CoinTelegraph,Bitcoin Ordinals daily inscriptions surge due to ‘BRC-20 tokens’,"The BRC-20 token standard utilizes Ordinal inscriptions to deploy token contracts, mint tokens, and transfer tokens.","Source: CoinTelegraph Title: Bitcoin Ordinals daily inscriptions surge due to ‘BRC-20 tokens’ Description: The BRC-20 token standard utilizes Ordinal inscriptions to deploy token contracts, mint tokens, and transfer tokens.",0
CoinTelegraph,Allbridge offers bounty to exploiter who stole $573K in flashloan attack,"Allbridge offered a hacker who pilfered $573,000 from its platform a chance to come forward as a white hat and forgo any legal ramifications.","Source: CoinTelegraph Title: Allbridge offers bounty to exploiter who stole $573K in flashloan attack Description: Allbridge offered a hacker who pilfered $573,000 from its platform a chance to come forward as a white hat and forgo any legal ramifications.",0
CryptoPotato,Crypto Philanthropy is Expected to Hit $10B by 2032: Report,The non-profit sector has emerged as one of the leading industries in crypto adoption.,Source: CryptoPotato Title: Crypto Philanthropy is Expected to Hit $10B by 2032: Report Description: The non-profit sector has emerged as one of the leading industries in crypto adoption.,0
CoinTelegraph,"Bitcoin price turns $28K to support, opening the door for ETH, MATIC, HBAR and EOS to breakout","BTC, ETH, MATIC, HBAR and EOS are likely to pick up momentum if they cross above their respective overhead resistance levels.","Source: CoinTelegraph Title: Bitcoin price turns $28K to support, opening the door for ETH, MATIC, HBAR and EOS to breakout Description: BTC, ETH, MATIC, HBAR and EOS are likely to pick up momentum if they cross above their respective overhead resistance levels.",1
CoinTelegraph,3 reasons why Ethereum price can reach $3K in Q2,Ethereum on-chain and technical indicators show a long-term bullish argument for ETH price in the near to medium terms.,Source: CoinTelegraph Title: 3 reasons why Ethereum price can reach $3K in Q2 Description: Ethereum on-chain and technical indicators show a long-term bullish argument for ETH price in the near to medium terms.,1
CryptoPotato,Justin Sun’s Ambassadorial Role at the World Trade Organisation Ends,"Sun announced the end of his role as Grenada's ambassador to the World Trade Organization, a position he was appointed to in 2021.","Source: CryptoPotato Title: Justin Sun’s Ambassadorial Role at the World Trade Organisation Ends Description: Sun announced the end of his role as Grenada's ambassador to the World Trade Organization, a position he was appointed to in 2021.",0
CoinTelegraph,Arbitrum's first governance proposal sparks controversy with $1B at stake,The Arbitrum Foundation announced that it was only ratifying an existing decision when it proposed a 750 million ARB tokens budget.,Source: CoinTelegraph Title: Arbitrum's first governance proposal sparks controversy with $1B at stake Description: The Arbitrum Foundation announced that it was only ratifying an existing decision when it proposed a 750 million ARB tokens budget.,0
CryptoPotato,Real-World Asset Tokenization Could Surge to $16T Industry by 2030: Research,"The tokenization of real world assets (RWA) is set to become a multi-trillion-dollar industry by the end of the decade, according to recent research.","Source: CryptoPotato Title: Real-World Asset Tokenization Could Surge to $16T Industry by 2030: Research Description: The tokenization of real world assets (RWA) is set to become a multi-trillion-dollar industry by the end of the decade, according to recent research.",1
CoinTelegraph,"Bitcoin copying 'familiar' price trend in 2023, two more metrics show",The SLRV Ribbons and Bitcoin Yardstick tools both reveal copycat behavior from 2019 when it comes to Bitcoin price recovery.,"Source: CoinTelegraph Title: Bitcoin copying 'familiar' price trend in 2023, two more metrics show Description: The SLRV Ribbons and Bitcoin Yardstick tools both reveal copycat behavior from 2019 when it comes to Bitcoin price recovery.",1
CryptoPotato,"Circle’s USDC Outflows Surpassed $10B Since SVB Collapse, Tether Dominance Rises",Tether (USDT) has emerged as the industry favorite amidst turmoil in USDC.,"Source: CryptoPotato Title: Circle’s USDC Outflows Surpassed $10B Since SVB Collapse, Tether Dominance Rises Description: Tether (USDT) has emerged as the industry favorite amidst turmoil in USDC.",1
CoinTelegraph,BTC price targets fix on $35K as Bitcoin eyes 'massive' liquidity squeeze,"Bitcoin will spark 'massive' liquidations if it rises to take out ask liquidity around $30,000, the latest BTC price analysis says.","Source: CoinTelegraph Title: BTC price targets fix on $35K as Bitcoin eyes 'massive' liquidity squeeze Description: Bitcoin will spark 'massive' liquidations if it rises to take out ask liquidity around $30,000, the latest BTC price analysis says.",1
CryptoNews,"After Manhattan Indictment, Trump's NFT Trading Cards See Sharp Rise in Value \x93Â\xa0Here's Why",Digital trading cards tied to Donald Trump have seen a spike in price following news that a grand jury in Manhattan voted to indict him.,"Source: CryptoNews Title: After Manhattan Indictment, Trump's NFT Trading Cards See Sharp Rise in Value \x93Â\xa0Here's Why Description: Digital trading cards tied to Donald Trump have seen a spike in price following news that a grand jury in Manhattan voted to indict him.",1
CoinTelegraph,"Nifty News: Trump NFTs pump after indictment,  Q1 trading volume hits $4.7B and more…","The total NFT market trading volume in Q1 hit $4.7 billion, more than doubling the previous quarter, while Square Enix dropped Final Fantasy trading cards that can't actually be traded, yet.","Source: CoinTelegraph Title: Nifty News: Trump NFTs pump after indictment,  Q1 trading volume hits $4.7B and more… Description: The total NFT market trading volume in Q1 hit $4.7 billion, more than doubling the previous quarter, while Square Enix dropped Final Fantasy trading cards that can't actually be traded, yet.",0
CryptoPotato,India’s 1% TDS on Crypto Transfers Yields $19 Million in 9 Months,"The high tax rate on a low threshold ($125 in a financial year) made crypto trading unprofitable, and exchanges unviable in India.","Source: CryptoPotato Title: India’s 1% TDS on Crypto Transfers Yields $19 Million in 9 Months Description: The high tax rate on a low threshold ($125 in a financial year) made crypto trading unprofitable, and exchanges unviable in India.",0
CryptoPotato,Argentinean Airline Becomes the First to Offer Tickets as NFTs on Algorand,Flybondi started issuing flight tickets as NFTs on the Algorand blockchain.,Source: CryptoPotato Title: Argentinean Airline Becomes the First to Offer Tickets as NFTs on Algorand Description: Flybondi started issuing flight tickets as NFTs on the Algorand blockchain.,1
CoinTelegraph,Uniswap v3 code free to fork as BSL expires,"The license expiration marks a significant event within the DeFi ecosystem, as it enables developers to deploy their own decentralized exchange (DEX).","Source: CoinTelegraph Title: Uniswap v3 code free to fork as BSL expires Description: The license expiration marks a significant event within the DeFi ecosystem, as it enables developers to deploy their own decentralized exchange (DEX).",1
CryptoPotato,Coinbase CEO Thinks Stopping ChatGPT Development is a ‘Bad Idea’,Brian Armstrong has argued against hitting a pause button on the development of AI tools. ,Source: CryptoPotato Title: Coinbase CEO Thinks Stopping ChatGPT Development is a ‘Bad Idea’ Description: Brian Armstrong has argued against hitting a pause button on the development of AI tools. ,1
CryptoPotato,NFT Market Hit $4.7B in Sales in Q1: DappRadar,"Blur’s impressive rise to dominance has changed the dynamics of the space, threatening the market share of the once-undisputed leader, OpenSea.","Source: CryptoPotato Title: NFT Market Hit $4.7B in Sales in Q1: DappRadar Description: Blur’s impressive rise to dominance has changed the dynamics of the space, threatening the market share of the once-undisputed leader, OpenSea.",1
CoinTelegraph,Former Activision Blizzard executive joins Yuga Labs as CEO,"With Daniel Alegre on board, Yuga Labs is expected to ramp up its metaverse efforts. Previously, he held leadership positions at Google, Activision Blizzard, and Bertelsmann.","Source: CoinTelegraph Title: Former Activision Blizzard executive joins Yuga Labs as CEO Description: With Daniel Alegre on board, Yuga Labs is expected to ramp up its metaverse efforts. Previously, he held leadership positions at Google, Activision Blizzard, and Bertelsmann.",1
CryptoNews,Crypto Exchange Bittrex Pulls the Plug on US Operations Amid Challenging Regulatory Environment \x93 Here's the Latest,"Cryptocurrency exchange Bittrex is shutting down US operations, citing increasing regulatory pressure and a lack of clear regulatory requirements.","Source: CryptoNews Title: Crypto Exchange Bittrex Pulls the Plug on US Operations Amid Challenging Regulatory Environment \x93 Here's the Latest Description: Cryptocurrency exchange Bittrex is shutting down US operations, citing increasing regulatory pressure and a lack of clear regulatory requirements.",1
CryptoPotato,Nearly 1 Million Blockchain Addresses Now Hold Over 1 Bitcoin,Small Bitcoin holders have grown steadily over time at the expense of whales – especially after the collapse of FTX.\xa0,Source: CryptoPotato Title: Nearly 1 Million Blockchain Addresses Now Hold Over 1 Bitcoin Description: Small Bitcoin holders have grown steadily over time at the expense of whales – especially after the collapse of FTX.\xa0,1
CryptoNews,Shiba Inu Price Prediction as Testnet 'Puppynet' Sees Huge Spike In Activity as Shibarium Launch Approaches \x93 Can SHIB Reach $1?,The second most polar meme coin in the market Shiba Inu is up 2.7% in 24 hours to trade at $0.00001085 at the time of writing on Saturday. This bullish outlook may be attributed to...,Source: CryptoNews Title: Shiba Inu Price Prediction as Testnet 'Puppynet' Sees Huge Spike In Activity as Shibarium Launch Approaches \x93 Can SHIB Reach $1? Description: The second most polar meme coin in the market Shiba Inu is up 2.7% in 24 hours to trade at $0.00001085 at the time of writing on Saturday. This bullish outlook may be attributed to...,1
CryptoPotato,Bitcoin Leads the Way by Outperforming Most Assets in Q1: Report,The amount of Bitcoin and Ether owned by hodlers continues to hit record highs. ,Source: CryptoPotato Title: Bitcoin Leads the Way by Outperforming Most Assets in Q1: Report Description: The amount of Bitcoin and Ether owned by hodlers continues to hit record highs. ,1
CoinTelegraph,More than 3600 Bitcoin ATMs went offline to record largest monthly decline,"With 3,627 crypto ATMs going down last month, March 2023 becomes the month with the largest monthly decline of crypto ATMs.","Source: CoinTelegraph Title: More than 3600 Bitcoin ATMs went offline to record largest monthly decline Description: With 3,627 crypto ATMs going down last month, March 2023 becomes the month with the largest monthly decline of crypto ATMs.",1
CryptoNews,Crypto Scammer Gets Away with $1.2M in ARB Tokens Through 'Address Poisoning' Attack \x93 Here's What Happened,A hacker has made off with more than $1.2 million worth of ARB tokens through a relatively new type of cyber-attack that uses modified wallet addresses to steal funds.,Source: CryptoNews Title: Crypto Scammer Gets Away with $1.2M in ARB Tokens Through 'Address Poisoning' Attack \x93 Here's What Happened Description: A hacker has made off with more than $1.2 million worth of ARB tokens through a relatively new type of cyber-attack that uses modified wallet addresses to steal funds.,0
CoinTelegraph,"Terra co-founder Daniel Shin’s arrest denied by court, citing low flight risk","Shin currently faces multiple fraud charges, specifically concerning allegedly hiding risks associated with investing in the in-house tokens by Terraform Labs.","Source: CoinTelegraph Title: Terra co-founder Daniel Shin’s arrest denied by court, citing low flight risk Description: Shin currently faces multiple fraud charges, specifically concerning allegedly hiding risks associated with investing in the in-house tokens by Terraform Labs.",1
CryptoNews,Bitcoin Price and Ethereum Prediction: Will BTC and ETH Break Free from the Weekend Blues?,"As Bitcoin and Ethereum continue dominating the cryptocurrency market, traders and investors are closely watching their price movements. Over the weekend, both Bitcoin and Ethereum have been trading within a narrow range, causing some concern among traders.","Source: CryptoNews Title: Bitcoin Price and Ethereum Prediction: Will BTC and ETH Break Free from the Weekend Blues? Description: As Bitcoin and Ethereum continue dominating the cryptocurrency market, traders and investors are closely watching their price movements. Over the weekend, both Bitcoin and Ethereum have been trading within a narrow range, causing some concern among traders.",0
CoinTelegraph,El Salvador removes all taxes related to tech innovation for economic growth,"Technology innovations such as software programming, coding, apps and AI development, and computing and communications hardware manufacturing will be exempted from taxes in El Salvador.","Source: CoinTelegraph Title: El Salvador removes all taxes related to tech innovation for economic growth Description: Technology innovations such as software programming, coding, apps and AI development, and computing and communications hardware manufacturing will be exempted from taxes in El Salvador.",0
CryptoPotato,Bittrex to Close Operations in the US Due to Regulatory Hurdles,"Bittrex says goodbye to the US following a series of legal actions taken by the government against Kraken, Coinbase, and Binance.","Source: CryptoPotato Title: Bittrex to Close Operations in the US Due to Regulatory Hurdles Description: Bittrex says goodbye to the US following a series of legal actions taken by the government against Kraken, Coinbase, and Binance.",0
CoinTelegraph,Elon Musk requests dismissal of $258B Dogecoin lawsuit: Report,"Investors pointed to Musk’s portrayal of 'a fictitious financial expert' during a Saturday Night Live appearance, referring to Dogecoin as “a hustle,” as a reference point in the lawsuit.","Source: CoinTelegraph Title: Elon Musk requests dismissal of $258B Dogecoin lawsuit: Report Description: Investors pointed to Musk’s portrayal of 'a fictitious financial expert' during a Saturday Night Live appearance, referring to Dogecoin as “a hustle,” as a reference point in the lawsuit.",1
CoinTelegraph,Terra’s branding at MLB opener draws attention from spectators,An attendee shared an image of a Terra banner at Nationals Park in Washington D.C. with the slogan 'a decentralized economy needs decentralized money.',Source: CoinTelegraph Title: Terra’s branding at MLB opener draws attention from spectators Description: An attendee shared an image of a Terra banner at Nationals Park in Washington D.C. with the slogan 'a decentralized economy needs decentralized money.',0
CoinTelegraph,Crypto exchange Bittrex to wind down operations in the US,"The exchange shared that all customer funds are safe but advised its U.S. customers to withdraw their funds by April 30, 2023.","Source: CoinTelegraph Title: Crypto exchange Bittrex to wind down operations in the US Description: The exchange shared that all customer funds are safe but advised its U.S. customers to withdraw their funds by April 30, 2023.",0
CryptoPotato,Ripple CEO Calls on US Lawmakers to Look into SEC Chair Gensler’s Crypto Assertions,The Ripple boss believes crypto should be regulated by legislation and not from the SEC's perspective.,Source: CryptoPotato Title: Ripple CEO Calls on US Lawmakers to Look into SEC Chair Gensler’s Crypto Assertions Description: The Ripple boss believes crypto should be regulated by legislation and not from the SEC's perspective.,1
CoinTelegraph,"Crypto Biz: A spotlight on Binance, Galaxy Digital swings to profit, China’s blockchain push","Binance handles fear, uncertainty and doubt (FUD) surrounding its business future following a lawsuit from U.S. authorities.","Source: CoinTelegraph Title: Crypto Biz: A spotlight on Binance, Galaxy Digital swings to profit, China’s blockchain push Description: Binance handles fear, uncertainty and doubt (FUD) surrounding its business future following a lawsuit from U.S. authorities.",1
CoinTelegraph,European DeFi startups saw a 120% increase in VC funding in 2022: Finance Redefined,"The top 100 DeFi tokens had a mixed week, with little changes and a majority of the tokens trading in green.","Source: CoinTelegraph Title: European DeFi startups saw a 120% increase in VC funding in 2022: Finance Redefined Description: The top 100 DeFi tokens had a mixed week, with little changes and a majority of the tokens trading in green.",0
CryptoNews,Best Crypto to Buy Now at ICO Before Exchange Listing \x93 31 March,"Bitcoin's price is rallying today, buoyed by positive US economic data and anticipation of a strong monthly close. As April begins, the renewed interest is driving investors to seek the best cryptos to buy now.","Source: CryptoNews Title: Best Crypto to Buy Now at ICO Before Exchange Listing \x93 31 March Description: Bitcoin's price is rallying today, buoyed by positive US economic data and anticipation of a strong monthly close. As April begins, the renewed interest is driving investors to seek the best cryptos to buy now.",1
CoinTelegraph,"Why did 12K Bitcoin margin longs close at Bitfinex, and why didn’t it impact BTC price?","An unprecedented number of BTC margin longs recently closed at Bitfinex, leaving analysts searching for explanations.","Source: CoinTelegraph Title: Why did 12K Bitcoin margin longs close at Bitfinex, and why didn’t it impact BTC price? Description: An unprecedented number of BTC margin longs recently closed at Bitfinex, leaving analysts searching for explanations.",0
CoinTelegraph,Bitcoin white paper makes its F1 racing debut on Kraken-sponsored car,"The Kraken logo on the car includes the entirety of the abstract and introduction of ‘Bitcoin: A Peer-to-Peer Electronic Cash System’, and has its next race in Australia.","Source: CoinTelegraph Title: Bitcoin white paper makes its F1 racing debut on Kraken-sponsored car Description: The Kraken logo on the car includes the entirety of the abstract and introduction of ‘Bitcoin: A Peer-to-Peer Electronic Cash System’, and has its next race in Australia.",0
CryptoPotato,"The State of Bitcoin as It Approaches $30,000: Santiment",Bitcoin is almost back to its level from June 2022 – but is the market getting a bit too excited?,"Source: CryptoPotato Title: The State of Bitcoin as It Approaches $30,000: Santiment Description: Bitcoin is almost back to its level from June 2022 – but is the market getting a bit too excited?",1
CoinTelegraph,Is a housing crisis underway? Why crypto investors should care,Cointelegraph analyst and writer Marcel Pechman explains if there is a housing crisis underway and why crypto investors should be paying attention.,Source: CoinTelegraph Title: Is a housing crisis underway? Why crypto investors should care Description: Cointelegraph analyst and writer Marcel Pechman explains if there is a housing crisis underway and why crypto investors should be paying attention.,0
CoinTelegraph,"XRP, XLM, CFX, XDC and MASK rank among the top 5 altcoin gainers in March","Most altcoins posted a below-par performance in March, but XRP, XLM, CFX, XDC and MASK defied the trend by posting double-digit gains.","Source: CoinTelegraph Title: XRP, XLM, CFX, XDC and MASK rank among the top 5 altcoin gainers in March Description: Most altcoins posted a below-par performance in March, but XRP, XLM, CFX, XDC and MASK defied the trend by posting double-digit gains.",1
CoinTelegraph,AI has a role to play in detecting fake NFTs,Artificial intelligence is going to be a key component in cracking down on the growing number of counterfeit non-fungible tokens (NFTs).,Source: CoinTelegraph Title: AI has a role to play in detecting fake NFTs Description: Artificial intelligence is going to be a key component in cracking down on the growing number of counterfeit non-fungible tokens (NFTs).,0
CryptoPotato,DEX Volume Unaffected But BTC Outflows From Binance Increase Post CFTC Lawsuit,Binance experienced a 60% withdrawal surge this week following the CFTC’s market manipulation allegations.\xa0,Source: CryptoPotato Title: DEX Volume Unaffected But BTC Outflows From Binance Increase Post CFTC Lawsuit Description: Binance experienced a 60% withdrawal surge this week following the CFTC’s market manipulation allegations.\xa0,1
CoinTelegraph,Asia’s gaming giants bet on Web3 to transform the global gaming landscape,"Asia Pacific is leading the charge in the rapidly growing Web3 gaming sector, with regional gaming companies pushing for the global adoption of blockchain-based games.","Source: CoinTelegraph Title: Asia’s gaming giants bet on Web3 to transform the global gaming landscape Description: Asia Pacific is leading the charge in the rapidly growing Web3 gaming sector, with regional gaming companies pushing for the global adoption of blockchain-based games.",0
CryptoNews,New Report: Bankruptcy Markets Thrive Amid Crypto Industry Turmoil Following FTX's Collapse,"Users of failed crypto exchanges and funds are selling their claims for a fraction of their paper value, creating a thriving market for bankruptcy claims.","Source: CryptoNews Title: New Report: Bankruptcy Markets Thrive Amid Crypto Industry Turmoil Following FTX's Collapse Description: Users of failed crypto exchanges and funds are selling their claims for a fraction of their paper value, creating a thriving market for bankruptcy claims.",0
CoinTelegraph,Solana overcomes FTX fiasco — SOL price gains 100% in Q1,The cryptocurrency market may have overreacted to Solana's FTX links and its tainted boss Sam Bankman-Fried.,Source: CoinTelegraph Title: Solana overcomes FTX fiasco — SOL price gains 100% in Q1 Description: The cryptocurrency market may have overreacted to Solana's FTX links and its tainted boss Sam Bankman-Fried.,1
CryptoNews,"Today in Crypto: FTX EU Enables Withdrawal Requests, Ex-Binance.US CEO Lawyers Up, Cardano to Enable Access to EVM Contracts from Any ADA Wallet","Get your daily, bite-sized digest of cryptoasset and blockchain-related news.","Source: CryptoNews Title: Today in Crypto: FTX EU Enables Withdrawal Requests, Ex-Binance.US CEO Lawyers Up, Cardano to Enable Access to EVM Contracts from Any ADA Wallet Description: Get your daily, bite-sized digest of cryptoasset and blockchain-related news.",0
CoinTelegraph,Bitcoin price hits $28.5K on PCE data as macro 'accumulation zone' ends,"Bitcoin is up $1,000 on the day as bets on $30,000 hitting soon reappear in advance of the BTC price monthly close.","Source: CoinTelegraph Title: Bitcoin price hits $28.5K on PCE data as macro 'accumulation zone' ends Description: Bitcoin is up $1,000 on the day as bets on $30,000 hitting soon reappear in advance of the BTC price monthly close.",1
CryptoNews,"Ethereum Price Prediction as ETH Falls Below $1,800 \x93 Time to Buy the Dip?","Â\xa0The token powering the largest smart contracts platform, Ethereum is consolidating on Friday while holding support at $1,800 ahead of the release of key economic data. Ethereum price slowed down its aggressive push witnessed in...","Source: CryptoNews Title: Ethereum Price Prediction as ETH Falls Below $1,800 \x93 Time to Buy the Dip? Description: Â\xa0The token powering the largest smart contracts platform, Ethereum is consolidating on Friday while holding support at $1,800 ahead of the release of key economic data. Ethereum price slowed down its aggressive push witnessed in...",0
CryptoNews,UNICEF's Foray into Crypto: Agency Tests Prototype DAO for Digital Public Goods,"UNICEF, a United Nations agency focused on humanitarian aid and relief to children, is further venturing into the cryptosphere with its ongoing work related to a decentralized autonomous organization (DAO) prototype.","Source: CryptoNews Title: UNICEF's Foray into Crypto: Agency Tests Prototype DAO for Digital Public Goods Description: UNICEF, a United Nations agency focused on humanitarian aid and relief to children, is further venturing into the cryptosphere with its ongoing work related to a decentralized autonomous organization (DAO) prototype.",0
CoinTelegraph,Huobi partners with Gala Games for L1 and Web3 development,"Huobi Global has joined hands with Gala Games, a blockchain-based play-to-earn gaming platform, to work together on the investment and listing of Web3 projects.","Source: CoinTelegraph Title: Huobi partners with Gala Games for L1 and Web3 development Description: Huobi Global has joined hands with Gala Games, a blockchain-based play-to-earn gaming platform, to work together on the investment and listing of Web3 projects.",1
CryptoNews,"China's Digital Yuan Makes Import Tax, Commerce Breakthroughs \x93 Are CBDCs Going Global?",Central bank digital currency (CBDC) adoption continues apace in China \x93 where the digital yuan is breaking new ground in the worlds of import taxation and cross-border commerce.,"Source: CryptoNews Title: China's Digital Yuan Makes Import Tax, Commerce Breakthroughs \x93 Are CBDCs Going Global? Description: Central bank digital currency (CBDC) adoption continues apace in China \x93 where the digital yuan is breaking new ground in the worlds of import taxation and cross-border commerce.",0
CryptoPotato,Orbeon Protocol: Introducing A Paradigm Shift in Finance,"Traditional finance (TradFi) is facing serious challenges, highlighted by recent scandals in the industry. On November 8th, 2022, the mismanagement of centralized finance collided with crypto, as the infamous centralized","Source: CryptoPotato Title: Orbeon Protocol: Introducing A Paradigm Shift in Finance Description: Traditional finance (TradFi) is facing serious challenges, highlighted by recent scandals in the industry. On November 8th, 2022, the mismanagement of centralized finance collided with crypto, as the infamous centralized",1
CryptoPotato,Black Swan Author and Jordan Peterson Clash Over Bitcoin,"Peterson believes bitcoin could be the answer to reduced cash supply, while Taleb disagreed.","Source: CryptoPotato Title: Black Swan Author and Jordan Peterson Clash Over Bitcoin Description: Peterson believes bitcoin could be the answer to reduced cash supply, while Taleb disagreed.",0
CryptoNews,Suspected Brazilian Crypto Scam Firm Workers Caught on CCTV on Way to Empty HQ,\x9cEmployees\x9d at Brazilian company at center of crypto scam allegations have been filmed apparently on their way to remove evidence \x93 under the cover of night.,Source: CryptoNews Title: Suspected Brazilian Crypto Scam Firm Workers Caught on CCTV on Way to Empty HQ Description: \x9cEmployees\x9d at Brazilian company at center of crypto scam allegations have been filmed apparently on their way to remove evidence \x93 under the cover of night.,0
CryptoPotato,FTX’s European Arm to Resume Withdrawals for Users With New Website Launch,European customers of the failed crypto exchange can finally catch a break.,Source: CryptoPotato Title: FTX’s European Arm to Resume Withdrawals for Users With New Website Launch Description: European customers of the failed crypto exchange can finally catch a break.,0
CoinTelegraph,Future of telecom industry unveiled at Paris Blockchain Week,"Although foundational to our interconnected world, the traditional telecom industry is riddled with challenges, from security concerns to billing discrepancies.","Source: CoinTelegraph Title: Future of telecom industry unveiled at Paris Blockchain Week Description: Although foundational to our interconnected world, the traditional telecom industry is riddled with challenges, from security concerns to billing discrepancies.",0
CryptoNews,Binance Crypto Exchange Accused of Allowing U.S. Firms to Circumvent Derivatives Trading Ban \x93 What's Going On?,Binance has been accused by the CFTC of allowing trading firms based in the US to trade crypto derivatives on Binance's international exchange.,Source: CryptoNews Title: Binance Crypto Exchange Accused of Allowing U.S. Firms to Circumvent Derivatives Trading Ban \x93 What's Going On? Description: Binance has been accused by the CFTC of allowing trading firms based in the US to trade crypto derivatives on Binance's international exchange.,0
CryptoNews,Coinbase Crypto Exchange Taps Former Shopify Executive to Lead Canadian Expansion \x93 Here's the Latest,Coinbase cryptocurrency exchange has appointed a former executive from Shopify as its new country director in Canada. Here's what you need to know.,Source: CryptoNews Title: Coinbase Crypto Exchange Taps Former Shopify Executive to Lead Canadian Expansion \x93 Here's the Latest Description: Coinbase cryptocurrency exchange has appointed a former executive from Shopify as its new country director in Canada. Here's what you need to know.,0
CryptoNews,Crypto Wallet Maker Ledger Raises $109 Million in Latest Funding Round \x93 Is the Bull Market Back?,"Major crypto wallet maker Ledger announced its Series C funding round, raising $108.8 million.","Source: CryptoNews Title: Crypto Wallet Maker Ledger Raises $109 Million in Latest Funding Round \x93 Is the Bull Market Back? Description: Major crypto wallet maker Ledger announced its Series C funding round, raising $108.8 million.",0
CoinTelegraph,BTC price to $22K? Watch these key levels into Bitcoin monthly close,BTC price bets pile in as Bitcoin approaches one of its most important monthly closes since the November 2021 all-time high.,Source: CoinTelegraph Title: BTC price to $22K? Watch these key levels into Bitcoin monthly close Description: BTC price bets pile in as Bitcoin approaches one of its most important monthly closes since the November 2021 all-time high.,1
CoinTelegraph,Here’s how the crypto industry is using artificial intelligence,The rise of artificial intelligence (AI) though in its early stages has found use cases in crypto through countless projects.,Source: CoinTelegraph Title: Here’s how the crypto industry is using artificial intelligence Description: The rise of artificial intelligence (AI) though in its early stages has found use cases in crypto through countless projects.,0
CoinTelegraph,"Avalanche launches initiative for digital artists, NFT creator protests Sotheby’s gender bias, and more","The Avalanche Foundation has launched a new mentoring initiative for digital artists, and Ticketmaster has introduced a new feature allowing artists to reward NFT holders.","Source: CoinTelegraph Title: Avalanche launches initiative for digital artists, NFT creator protests Sotheby’s gender bias, and more Description: The Avalanche Foundation has launched a new mentoring initiative for digital artists, and Ticketmaster has introduced a new feature allowing artists to reward NFT holders.",1
CryptoNews,Bitcoin Price and Ethereum Prediction: Will BTC and ETH Shake Off the Shackles and Break Free of Tight Ranges?,"As the weekend approaches, cryptocurrency enthusiasts are keeping a close eye on Bitcoin (BTC) and Ethereum (ETH), wondering if these leading digital assets will manage to break free from their recent tight trading ranges.","Source: CryptoNews Title: Bitcoin Price and Ethereum Prediction: Will BTC and ETH Shake Off the Shackles and Break Free of Tight Ranges? Description: As the weekend approaches, cryptocurrency enthusiasts are keeping a close eye on Bitcoin (BTC) and Ethereum (ETH), wondering if these leading digital assets will manage to break free from their recent tight trading ranges.",0
CoinTelegraph,FTX EU launches withdrawal website to pay back European users,"FTX EU was only approved by the Cyprus regulator in March, 2022, about seven months before FTX collapsed in November.","Source: CoinTelegraph Title: FTX EU launches withdrawal website to pay back European users Description: FTX EU was only approved by the Cyprus regulator in March, 2022, about seven months before FTX collapsed in November.",1
CryptoPotato,Ledger Taps $1.4 Billion Valuation After Securing $109 Million Funding,"The hardware wallet manufacturer, Ledger, has secured a $109 Million funding round and is expected to conduct two more this year.","Source: CryptoPotato Title: Ledger Taps $1.4 Billion Valuation After Securing $109 Million Funding Description: The hardware wallet manufacturer, Ledger, has secured a $109 Million funding round and is expected to conduct two more this year.",1
CoinTelegraph,DAO treasuries top $25 billion for the first time: DeepDAO,"Assets held in DAO treasuries have more than doubled since the beginning of 2023, according to DeepDAO.","Source: CoinTelegraph Title: DAO treasuries top $25 billion for the first time: DeepDAO Description: Assets held in DAO treasuries have more than doubled since the beginning of 2023, according to DeepDAO.",1
CoinTelegraph,‘Killer use case’: Citi says trillions in assets could be tokenized by 2030,The bank predicts the private equity market to become the most “tokenized” asset class because it is more liquid and can be fractionalized.,Source: CoinTelegraph Title: ‘Killer use case’: Citi says trillions in assets could be tokenized by 2030 Description: The bank predicts the private equity market to become the most “tokenized” asset class because it is more liquid and can be fractionalized.,1
CryptoPotato,New Binance Smart Chain Proposal Seeks to Lower Transaction Fees: Report,The proposal is expected to make BSC more attactive then layer 2s. ,Source: CryptoPotato Title: New Binance Smart Chain Proposal Seeks to Lower Transaction Fees: Report Description: The proposal is expected to make BSC more attactive then layer 2s. ,1
CryptoNews,"Bitcoin Price Prediction as BTC Rally Intensifies with $20 Billion Trading Volume \x93Â\xa0Can BTC Reach $30,000 This Week?","Bitcoin, the world's largest cryptocurrency, has been experiencing an uptick in its price, surging by over 4% in the last few hours. However, the gains in Bitcoin's price seem to be fading, and it has lost some of its recent increases. \n\nThis could be because some experts, like Gareth Soloway from InTheMoneyStocks.com, predict...","Source: CryptoNews Title: Bitcoin Price Prediction as BTC Rally Intensifies with $20 Billion Trading Volume \x93Â\xa0Can BTC Reach $30,000 This Week? Description: Bitcoin, the world's largest cryptocurrency, has been experiencing an uptick in its price, surging by over 4% in the last few hours. However, the gains in Bitcoin's price seem to be fading, and it has lost some of its recent increases. \n\nThis could be because some experts, like Gareth Soloway from InTheMoneyStocks.com, predict...",1
CryptoPotato,Paxful to Refund Celsius Earn Deposits to Affected Company Members,The funds will be returned from Paxful’s reserves.\r\n,Source: CryptoPotato Title: Paxful to Refund Celsius Earn Deposits to Affected Company Members Description: The funds will be returned from Paxful’s reserves.\r\n,0
